"Record ID","Repeat Instrument","Repeat Instance","Historic Data","Date Record Entered:","Type of Climb","Date of Climb","Name of Climb:","Grade of Climb (YDS):","Grade of Climb (YDS):","Grade of Climb (Fr):","Grade of Climb (Fr):","Grade of Climb (V Scale):","Grade of Climb (V Scale):","Difficulty Calc","Type of Protection:","Type of Ascent:","Type of Ascent:",Repeat?,"Second Go?",Followed?,"Pink Point?","Notes about the Climb","Climbing Area:","Wall/Boulder Within Area:",Latitude,Longitude,Complete?,"Upload Picture","Picture Notes:",Complete?
11,,,Yes,2018-10-03,Route,2009-11-21,"Garden Route",5.10a,5.10a,,,,,9,Sport,Flash,,,,,,,"Jackson Falls","Spleef Peak",,,Complete,,,
12,,,Yes,2018-10-03,Route,2009-11-21,Stinger,5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
13,,,Yes,2018-10-03,Route,2009-11-25,"Cut Throat",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
14,,,Yes,2018-10-03,Route,2009-12-06,Industry,5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Industry Wall",,,Complete,,,
15,,,Yes,2018-10-03,Route,2010-02-27,"Big wall greg's chicken shack",5.6,5.6,,,,,5,Sport,Onsight,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
16,,,Yes,2018-10-03,Route,2010-05-15,"Luscious Babes",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Jackson Falls","Mr. Jimmy",,,Complete,,,
17,,,Yes,2018-10-03,Route,2010-12-24,"Lovely Arete",5.11a,5.11a,,,,,13,Sport,"Red Point",,,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
18,,,Yes,2018-10-03,Route,2011-02-21,"Let's Play Doctor",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Cedar Grove Bluff","Playground Wall",,,Complete,,,
19,,,Yes,2018-10-03,Route,2011-02-21,"Schoolyard Blues",5.11a,5.11a,,,,,13,Sport,"Red Point",,,,,,,"Cedar Grove Bluff","PG Wall",,,Complete,,,
20,,,Yes,2018-10-03,Route,2011-04-02,XOXO,5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
21,,,Yes,2018-10-03,Route,2011-04-02,"Trap Line",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
22,,,Yes,2018-10-03,Route,2011-06-24,"Master Marley",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Jackson Falls","Spleef Peak",,,Complete,,,
23,,,Yes,2018-10-03,Route,2011-09-16,Archangel,5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
24,,,Yes,2018-10-03,Route,2011-10-01,"Fine Nine",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
25,,,Yes,2018-10-03,Route,2011-10-02,"Splinter Faction",5.11b,5.11b,,,,,14,Sport,Onsight,,,,,,,"Jackson Falls","Exam Wall",,,Complete,,,
26,,,Yes,2018-10-03,Route,2011-10-08,"Flinging Hog",5.11a,5.11a,,,,,13,Sport,"Red Point",,,"Second Go",,,,"Jackson Falls","Beaver Wall",,,Complete,,,
27,,,Yes,2018-10-03,Route,2011-10-08,"Mod Squad",5.8,5.8,,,,,7,Sport,Flash,,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
28,,,Yes,2018-10-03,Route,2011-10-15,"Everybody Needs Friends",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
29,,,Yes,2018-10-03,Route,2011-10-16,"Express Checkout Line",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Big Star Wall",,,Complete,,,
30,,,Yes,2018-10-03,Route,2011-11-19,"Wild at Heart",5.10d,5.10d,,,,,12,Sport,Onsight,,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
31,,,Yes,2018-10-03,Route,2011-12-11,"The Vow",5.11d,5.11d,,,,,16,Sport,"Red Point",,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
32,,,Yes,2018-10-03,Route,2012-02-19,"Thomas Bear Memorial",5.11a,5.11a,,,,,13,Mixed,"Red Point",,,,,,,"Cedar Grove Bluff","PG Wall",,,Complete,,,
33,,,Yes,2018-10-03,Route,2012-03-10,"Who needs friends?",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
34,,,Yes,2018-10-03,Route,2012-03-11,"Frizzle fry",5.12b,5.12b,,,,,18,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
35,,,Yes,2018-10-03,Route,2012-03-24,"Squirrel Deck",5.8,5.8,,,,,7,Sport,Flash,,,,,,,"Horseshoe Canyon Ranch","Titanic Boulder",,,Complete,,,
36,,,Yes,2018-10-03,Route,2012-04-04,"Hawk's Beak",5.7,5.7,,,,,6,Trad,Onsight,,,,,,,"Ferne Clyffe","Main Wall",,,Complete,,,
37,,,Yes,2018-10-03,Route,2012-04-06,"No Dogs Allowed",5.12b,5.12b,,,,,18,Sport,"Red Point",,,,,,"Direct Version","Jackson Falls","Royal Arches",,,Complete,,,
38,,,Yes,2018-10-03,Route,2012-04-06,"Cheerio Bowl",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Jackson Falls","Pricker Peak",,,Complete,,,
39,,,Yes,2018-10-03,Route,2012-04-06,"Stubborn Swede",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Jackson Falls","The Monument",,,Complete,,,
40,,,Yes,2018-10-03,Route,2012-04-06,"The Meanest Flower",5.9,5.9,,,,,8,Sport,Flash,,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
41,,,Yes,2018-10-03,Route,2012-08-12,"Captain Crunch",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Jackson Falls","Pricker Peak",,,Complete,,,
42,,,Yes,2018-10-03,Route,2012-08-22,"Chloe's Breakfast Special",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
43,,,Yes,2018-10-03,Route,2012-08-22,Rubicon,5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
44,,,Yes,2018-10-03,Route,2012-08-22,"Juan Valdez",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
45,,,Yes,2018-10-03,Route,2012-08-22,"Easily Amused",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
46,,,Yes,2018-10-03,Route,2012-08-22,"A Week with Pete","< 5.4","< 5.4",,,,,2,Sport,Flash,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
47,,,Yes,2018-10-03,Route,2012-08-22,"Shealyn's Way",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
48,,,Yes,2018-10-03,Route,2012-08-22,"Glory Jean's",5.6,5.6,,,,,5,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
49,,,Yes,2018-10-03,Route,2012-08-22,"Cafe au Lait",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,Rumney,"Parking Lot Wall",,,Complete,,,
50,,,Yes,2018-10-03,Route,2012-09-08,"Oily Easter Beaver",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Cedar Grove Bluff","Coal House Area",,,Complete,,,
51,,,Yes,2018-10-03,Route,2012-09-09,"Katie Did",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Town Square",,,Complete,,,
52,,,Yes,2018-10-03,Route,2012-09-09,"Whee Doggies!",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Jackson Falls","Belleville Wall",,,Complete,,,
53,,,Yes,2018-10-03,Route,2012-09-09,"Three Hour Tour",5.10b,5.10b,,,,,10,Sport,"Red Point",,,,,,,"Jackson Falls","S.S. Minnow",,,Complete,,,
54,,,Yes,2018-10-03,Route,2012-09-09,"Spank You Very Much",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Town Square",,,Complete,,,
55,,,Yes,2018-10-03,Route,2012-09-09,"Monkey Shower",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Town Square",,,Complete,,,
56,,,Yes,2018-10-03,Route,2012-09-22,"Gully Gee Whiz",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Belleville Wall",,,Complete,,,
57,,,Yes,2018-10-03,Route,2012-09-22,"Detox Mountain",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Hidden Peaks",,,Complete,,,
58,,,Yes,2018-10-03,Route,2012-09-23,"Umbrella Girl",5.12a,5.12a,,,,,17,Sport,"Red Point",,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
59,,,Yes,2018-10-03,Route,2012-09-29,"Local Hebrew",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
60,,,Yes,2018-10-03,Route,2012-09-29,"The Controversy",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
61,,,Yes,2018-10-03,Route,2012-09-29,"Lion Tamer",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
62,,,Yes,2018-10-03,Route,2012-09-29,"The Bulb",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
63,,,Yes,2018-10-03,Route,2012-09-29,"Tres Equis",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
64,,,Yes,2018-10-03,Route,2012-09-29,Frankenberry,5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
65,,,Yes,2018-10-03,Route,2012-09-29,Molt,5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
66,,,Yes,2018-10-03,Route,2012-09-29,Leonid,5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
67,,,Yes,2018-10-03,Route,2012-09-29,"Lamb Chops",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
68,,,Yes,2018-10-03,Route,2012-09-29,"Sin Nombre",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
69,,,Yes,2018-10-03,Route,2012-09-29,"Yo Sista",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
70,,,Yes,2018-10-03,Route,2012-09-29,"Smooth Criminal",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
71,,,Yes,2018-10-03,Route,2012-09-29,"Too Short to Drive the Short Bus",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
72,,,Yes,2018-10-03,Route,2012-09-29,"Mefloquine Dreams",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
73,,,Yes,2018-10-03,Route,2012-09-29,"Ojos Locos",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
74,,,Yes,2018-10-03,Route,2012-09-29,"Kindergarten Pimp",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
75,,,Yes,2018-10-03,Route,2012-09-29,"Season of the Storm",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
76,,,Yes,2018-10-03,Route,2012-09-29,"The Danforth Anchor",5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
77,,,Yes,2018-10-03,Route,2012-09-29,"Sons of the Soil",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
78,,,Yes,2018-10-03,Route,2012-09-29,"Count Chalkula",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
79,,,Yes,2018-10-03,Route,2012-09-29,"Private Property",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
80,,,Yes,2018-10-03,Route,2012-09-29,"Dog Crap Broken Fingers",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
81,,,Yes,2018-10-03,Route,2012-09-29,"The Hurricane",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
82,,,Yes,2018-10-03,Route,2012-09-29,"Eighteen Inches",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
83,,,Yes,2018-10-03,Route,2012-09-29,"Paul's Redemption",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
84,,,Yes,2018-10-03,Route,2012-09-29,"Chica Bonita",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
85,,,Yes,2018-10-03,Route,2012-09-29,"Honorary Brave",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
86,,,Yes,2018-10-03,Route,2012-09-29,Spam,5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
87,,,Yes,2018-10-03,Route,2012-09-29,"Hangs a Little to the Left",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
88,,,Yes,2018-10-03,Route,2012-09-29,"Tunnel Vision",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
89,,,Yes,2018-10-03,Route,2012-09-29,"Cows in the Mist",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
90,,,Yes,2018-10-03,Route,2012-09-29,"Little Manly Man",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
91,,,Yes,2018-10-03,Route,2012-09-29,"Caught in the Closet Again",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
92,,,Yes,2018-10-03,Route,2012-09-29,"Newton County Mentality",5.10d,5.10d,,,,,12,Sport,"Red Point",,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
93,,,Yes,2018-10-03,Route,2012-09-29,"The Ides of March",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
94,,,Yes,2018-10-03,Route,2012-09-29,"Girth Hitch",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
95,,,Yes,2018-10-03,Route,2012-09-29,Sundial,5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
96,,,Yes,2018-10-03,Route,2012-09-29,"Brand New",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
97,,,Yes,2018-10-03,Route,2012-09-29,Groovy,5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
98,,,Yes,2018-10-03,Route,2012-09-29,Tufantastic,5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
99,,,Yes,2018-10-03,Route,2012-09-29,"Pulp Fiction",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
100,,,Yes,2018-10-03,Route,2012-09-29,"Chico Bonito",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
101,,,Yes,2018-10-03,Route,2012-09-29,"Pantry Moth Invasion",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
102,,,Yes,2018-10-03,Route,2012-09-29,"Zeke's Didge Dance",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
103,,,Yes,2018-10-03,Route,2012-09-29,"Hanging Judge",5.6,5.6,,,,,5,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
104,,,Yes,2018-10-03,Route,2012-09-29,"Green Goblin",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
105,,,Yes,2018-10-03,Route,2012-09-29,"Class Clown",5.4,5.4,,,,,3,Trad,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
106,,,Yes,2018-10-03,Route,2012-09-29,"Little Miss Giggles",5.5,5.5,,,,,4,Trad,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
107,,,Yes,2018-10-03,Route,2012-09-29,"Playing Hooky",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
108,,,Yes,2018-10-03,Route,2012-09-29,"Kids Stuff",5.5,5.5,,,,,4,Trad,Onsight,,,,,,,"Horseshoe Canyon Ranch","North Forty",,,Complete,,,
109,,,Yes,2018-10-03,Route,2012-09-29,"Sofia Says",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Horseshoe Canyon Ranch","The Land Beyond",,,Complete,,,
110,,,Yes,2018-10-03,Route,2012-10-06,"Here come the snakes",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Jackson Falls","Snakes Roof",,,Complete,,,
111,,,Yes,2018-10-03,Route,2012-10-07,"Lost Innocence",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Jackson Falls","Lovely Tower",,,Complete,,,
112,,,Yes,2018-10-03,Route,2012-10-27,"King Snake",5.12d,5.12d,,,,,20,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Battle Axe tower",,,Complete,,,
113,,,Yes,2018-10-03,Route,2012-10-27,"Viking Blood",5.12c,5.12c,,,,,19,Sport,"Red Point",,,,,,,"Jackson Falls","Battle Axe Tower",,,Complete,,,
114,,,Yes,2018-10-03,Route,2012-11-02,"Butcher of Bagdad",5.13a,5.13a,,,,,21,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
115,,,Yes,2018-10-03,Route,2012-11-02,"Inner Pit Bull",5.12d,5.12d,,,,,20,Sport,"Red Point",,,,,,,"Jackson Falls","Royal Arches",,,Complete,,,
116,,,Yes,2018-10-03,Route,2012-11-10,"Fragile Egos",5.10d,5.10d,,,,,12,Sport,"Red Point",,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
117,,,Yes,2018-10-03,Route,2012-11-10,Electrocutioner,5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
118,,,Yes,2018-10-03,Route,2012-11-10,"Ego Tripping",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Jackson Falls","Railroad Rock",,,Complete,,,
119,,,Yes,2018-10-03,Route,2012-11-17,"Elders of the Tribe",5.12c,5.12c,,,,,19,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Hidden Peaks",,,Complete,,,
120,,,Yes,2018-10-03,Route,2013-01-26,"Unfinished symphony",5.10a,5.10a,,,,,9,Trad,"Hang/Attempted - No Send",,,,,,,"Cedar Grove Bluff","Playground Wall",,,Complete,,,
121,,,Yes,2018-10-03,Route,2013-02-09,Delirious,5.9,5.9,,,,,8,Sport,Onsight,,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
122,,,Yes,2018-10-03,Route,2013-02-09,"Team Honda",5.12a,5.12a,,,,,17,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","Promised Land",,,Complete,,,
123,,,Yes,2018-10-03,Route,2013-03-04,Vogue,5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,"Cedar Grove Bluff","PG Wall",,,Complete,,,
124,,,Yes,2018-10-03,Route,2013-03-08,"The Lats Waltz",5.12a,5.12a,,,,,17,Sport,"Hang/Attempted - No Send",,,,,,,"Cedar Grove Bluff","PG Wall",,,Complete,,,
125,,,Yes,2018-10-03,Route,2013-03-09,"The Farmer",5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,"Jackson Falls","Hidden Peaks",,,Complete,,,
126,,,Yes,2018-10-03,Route,2013-03-09,"Lasso the Vulture",5.11a,5.11a,,,,,13,Sport,Onsight,,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
127,,,Yes,2018-10-03,Route,2013-03-09,"The Land of Nod",5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
128,,,Yes,2018-10-03,Route,2013-03-09,"Mad Hatter",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
129,,,Yes,2018-10-03,Route,2013-03-09,"Cowboys & Cross Dressers",5.12a,5.12a,,,,,17,Sport,"Hang/Attempted - No Send",,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
130,,,Yes,2018-10-03,Route,2013-03-09,Lothlorien,5.10a,5.10a,,,,,9,Mixed,Flash,,,,,,,"Jackson Falls","The Monument",,,Complete,,,
131,,,Yes,2018-10-03,Route,2013-03-10,Energizer,5.12a,5.12a,,,,,17,Sport,"Red Point",,,"Second Go",,,,"Jackson Falls","Black Sheep Boulder",,,Complete,,,
132,,,Yes,2018-10-03,Route,2013-03-10,Psychotherapy,5.10b,5.10b,,,,,10,Sport,Onsight,,,,,,,"Jackson Falls","The Gallery",,,Complete,,,
133,,,Yes,2018-10-03,Route,2016-03-12,"Cats in the Cradle",5.10b,5.10b,,,,,10,Sport,"Red Point",,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
134,,,Yes,2018-10-03,Route,2016-03-12,"Tasmanian Devil",5.12b,5.12b,,,,,18,Sport,Flash,,,,,,,"Jackson Falls","Beaver Wall",,,Complete,,,
135,,,Yes,2018-10-03,Route,2013-03-16,"Court House",5.10c,5.10c,,,,,11,Sport,Onsight,,,,,,,"Jackson Falls","Belleville Wall",,,Complete,,,
136,,,Yes,2018-10-03,Route,2013-03-16,"Feed Me",5.11c,5.11c,,,,,15,Sport,Flash,,,,,,,"Jackson Falls","Boner's Boulder",,,Complete,,,
137,,,Yes,2018-10-03,Route,2013-03-16,"Eternal Damnation",5.11d,5.11d,,,,,16,Sport,"Hang/Attempted - No Send",,,,,,"Newish Carrier route, just past industry in the corner. I back roped. One Hang","Jackson Falls","Industry Wall",,,Complete,,,
138,,,Yes,2018-10-03,Route,2013-03-16,"I Be Lichen It",5.10b,5.10b,,,,,10,Sport,Flash,,,,,,,"Jackson Falls","Town Square",,,Complete,,,
139,,,Yes,2018-10-03,Route,2013-03-16,"Kill Bill",5.10a,5.10a,,,,,9,Sport,Onsight,,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
140,,,Yes,2018-10-03,Route,2013-03-16,Lindapalooza,5.10d,5.10d,,,,,12,Sport,"Hang/Attempted - No Send",,,,,,Hard,"Jackson Falls","Belleville Wall",,,Complete,,,
141,,,Yes,2018-10-03,Route,2013-03-16,"Brief Respite",5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Jackson Falls","The Ranch",,,Complete,,,
142,,,Yes,2018-10-03,Route,2013-03-21,Shawty,5.8,5.8,,,,,7,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
143,,,Yes,2018-10-03,Route,2013-03-21,"Yu Stin Ki Pu",5.6,5.6,,,,,5,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
144,,,Yes,2018-10-03,Route,2013-03-21,Crescendo,5.8,5.8,,,,,7,Sport,Onsight,,,,,,Hard,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
145,,,Yes,2018-10-03,Route,2013-03-21,"Ai Bang Mai Fa Kin Ni",5.7,5.7,,,,,6,Sport,Onsight,,,,,,,"Red River Gorge","Muir Valley, Practice Wall",,,Complete,,,
